frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,decoded_scan_time,decoded_contact_count,decoded_is_button_clicked,raw_scan_time,raw_contact_count,raw_is_button_clicked,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63166,4,0,63166,4,0,0,0x140B2A00,0x00000003,0x03,0x03,1560,768,1478,3049,1,03002A0B1418060003
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63166,4,0,63166,4,0,1,0xD61B0600,0x00000005,0x05,0x07,533,768,3577,2765,10,0500061BD615020003
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63166,4,0,63166,4,0,2,0x4A259200,0x00000006,0x06,0x07,537,768,4974,3202,19,060092254A19020003
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63166,4,0,63166,4,0,3,0x26143200,0x0000000B,0x0B,0x0B,3092,768,2674,2551,28,0B00321426140C0003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63276,4,0,63276,4,0,0,0x1E0B4600,0x00000003,0x03,0x03,3608,768,1492,3054,1,0300460B1E180E0003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63276,4,0,63276,4,0,1,0xFA1B2600,0x00000005,0x05,0x07,533,768,3594,2783,10,0500261BFA15020003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63276,4,0,63276,4,0,2,0x6025A000,0x00000006,0x06,0x07,537,768,4981,3213,19,0600A0256019020003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63276,4,0,63276,4,0,3,0x2A146A00,0x0000000B,0x0B,0x0B,7188,768,2702,2553,28,0B006A142A141C0003
2,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63386,4,0,63386,4,0,0,0x200B8E00,0x00000003,0x03,0x03,4120,768,1530,3055,1,03008E0B2018100003
2,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63386,4,0,63386,4,0,1,0x121B3E00,0x00000005,0x05,0x07,22,768,3606,2795,10,05003E1B1216000003
