frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,decoded_scan_time,decoded_contact_count,decoded_is_button_clicked,raw_scan_time,raw_contact_count,raw_is_button_clicked,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,11966,1,0,11966,1,0,0,0x70177600,0x00000006,0x06,0x07,4636,768,3106,3601,1,06007617701C120003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,12076,1,0,12076,1,0,0,0x8217B600,0x00000006,0x06,0x07,4636,768,3139,3610,1,0600B617821C120003
2,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,12196,1,0,12196,1,0,0,0x9817F600,0x00000006,0x06,0x07,4124,768,3172,3621,1,0600F617981C100003
3,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,12306,1,0,12306,1,0,0,0xBA184E00,0x00000006,0x06,0x07,4124,768,3218,3638,1,06004E18BA1C100003
4,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,12416,1,0,12416,1,0,0,0xD8189400,0x00000006,0x06,0x07,3612,768,3254,3652,1,06009418D81C0E0003
5,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,12526,1,0,12526,1,0,0,0x0018DA00,0x00000006,0x06,0x07,2589,768,3290,3672,1,0600DA18001D0A0003
6,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,12646,1,0,12646,1,0,0,0x20190A00,0x00000006,0x06,0x07,2077,768,3315,3688,1,06000A19201D080003
7,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,12756,1,0,12756,1,0,0,0x60196600,0x00000006,0x06,0x07,2077,768,3362,3720,1,06006619601D080003
8,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,12866,1,0,12866,1,0,0,0x9C19AC00,0x00000006,0x06,0x07,1565,768,3399,3749,1,0600AC199C1D060003
9,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,12976,1,0,12976,1,0,0,0xE219EC00,0x00000006,0x06,0x07,1053,768,3432,3784,1,0600EC19E21D040003
