frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x3A12FE00,0x00000000,0x01,0x03,6159,768,2514,1928,1,0100FE123A0F180003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x3A12FA00,0x00000000,0x01,0x03,9743,768,2512,1928,1,0100FA123A0F260003
2,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x30130400,0x00000000,0x01,0x03,11791,768,2517,1923,1,01000413300F2E0003
3,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x34130600,0x00000000,0x01,0x03,12815,768,2518,1925,1,01000613340F320003
4,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x34130400,0x00000000,0x01,0x03,13839,768,2517,1925,1,01000413340F360003
5,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x36130400,0x00000000,0x01,0x03,15887,768,2517,1926,1,01000413360F3E0003
6,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x38130400,0x00000000,0x01,0x03,17423,768,2517,1927,1,01000413380F440003
7,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x38130400,0x00000000,0x01,0x03,18447,768,2517,1927,1,01000413380F480003
8,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x38130600,0x00000000,0x01,0x03,19471,768,2518,1927,1,01000613380F4C0003
9,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x38130600,0x00000000,0x01,0x03,19983,768,2518,1927,1,01000613380F4E0003
10,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x38130600,0x00000000,0x01,0x03,20495,768,2518,1927,1,01000613380F500003
11,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x38130600,0x00000000,0x01,0x03,21007,768,2518,1927,1,01000613380F520003
12,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x3A130600,0x00000000,0x01,0x03,21519,768,2518,1928,1,010006133A0F540003
13,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x3C130600,0x00000000,0x01,0x03,22031,768,2518,1929,1,010006133C0F560003
14,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x3C130600,0x00000000,0x01,0x03,22031,768,2518,1929,1,010006133C0F560003
