frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xB6127400,0x00000007,0x07,0x07,3600,768,2443,2116,1,07007412B6100E0003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xB8127800,0x00000007,0x07,0x07,5648,768,2445,2117,1,07007812B810160003
2,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xBE127200,0x00000007,0x07,0x07,7696,768,2442,2120,1,07007212BE101E0003
3,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xBC127600,0x00000007,0x07,0x07,8720,768,2444,2119,1,07007612BC10220003
4,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xBC127400,0x00000007,0x07,0x07,9232,768,2443,2119,1,07007412BC10240003
5,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xBC127600,0x00000007,0x07,0x07,9232,768,2444,2119,1,07007612BC10240003
6,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xBC127600,0x00000007,0x07,0x07,9232,768,2444,2119,1,07007612BC10240003
7,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xBE127600,0x00000007,0x07,0x07,9232,768,2444,2120,1,07007612BE10240003
8,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xBE127400,0x00000007,0x07,0x07,9744,768,2443,2120,1,07007412BE10260003
9,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xBE127400,0x00000007,0x07,0x07,9744,768,2443,2120,1,07007412BE10260003
10,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xC0127400,0x00000007,0x07,0x07,9744,768,2443,2121,1,07007412C010260003
11,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xC0127400,0x00000007,0x07,0x07,9744,768,2443,2121,1,07007412C010260003
12,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xC0127600,0x00000007,0x07,0x07,9744,768,2444,2121,1,07007612C010260003
13,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xC2127600,0x00000007,0x07,0x07,10256,768,2444,2122,1,07007612C210280003
14,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xC4127600,0x00000007,0x07,0x07,10768,768,2444,2123,1,07007612C4102A0003
15,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xC6127600,0x00000007,0x07,0x07,11280,768,2444,2124,1,07007612C6102C0003
16,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xC8127400,0x00000007,0x07,0x07,11280,768,2443,2125,1,07007412C8102C0003
17,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xCA127400,0x00000007,0x07,0x07,11792,768,2443,2126,1,07007412CA102E0003
18,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xCE127200,0x00000007,0x07,0x07,11792,768,2442,2128,1,07007212CE102E0003
19,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xD0127000,0x00000007,0x07,0x07,11792,768,2441,2129,1,07007012D0102E0003
20,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xD4126E00,0x00000007,0x07,0x07,12304,768,2440,2131,1,07006E12D410300003
21,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xD8126E00,0x00000007,0x07,0x07,12816,768,2440,2133,1,07006E12D810320003
22,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xDA126E00,0x00000007,0x07,0x07,13328,768,2440,2134,1,07006E12DA10340003
23,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xDC126E00,0x00000007,0x07,0x07,13328,768,2440,2135,1,07006E12DC10340003
24,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xDE126E00,0x00000007,0x07,0x07,13840,768,2440,2136,1,07006E12DE10360003
25,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xE0127000,0x00000007,0x07,0x07,13840,768,2441,2137,1,07007012E010360003
26,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xE2127000,0x00000007,0x07,0x07,13840,768,2441,2138,1,07007012E210360003
27,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xE2127000,0x00000007,0x07,0x07,13840,768,2441,2138,1,07007012E210360003
28,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xE4127200,0x00000007,0x07,0x07,14352,768,2442,2139,1,07007212E410380003
29,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xE4127200,0x00000007,0x07,0x07,15376,768,2442,2139,1,07007212E4103C0003
30,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xE6127200,0x00000007,0x07,0x07,16400,768,2442,2140,1,07007212E610400003
31,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xE6127400,0x00000007,0x07,0x07,16912,768,2443,2140,1,07007412E610420003
32,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xE8127400,0x00000007,0x07,0x07,17424,768,2443,2141,1,07007412E810440003
33,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xE8127200,0x00000007,0x07,0x07,17424,768,2442,2141,1,07007212E810440003
34,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xEA127200,0x00000007,0x07,0x07,17424,768,2442,2142,1,07007212EA10440003
35,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xEA127000,0x00000007,0x07,0x07,17424,768,2441,2142,1,07007012EA10440003
36,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xEC127000,0x00000007,0x07,0x07,17424,768,2441,2143,1,07007012EC10440003
37,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xEE127000,0x00000007,0x07,0x07,17424,768,2441,2144,1,07007012EE10440003
38,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xEE127200,0x00000007,0x07,0x07,17424,768,2442,2144,1,07007212EE10440003
39,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xEE127200,0x00000007,0x07,0x07,17424,768,2442,2144,1,07007212EE10440003
40,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xEE127200,0x00000007,0x07,0x07,16912,768,2442,2144,1,07007212EE10420003
41,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xF0127200,0x00000007,0x07,0x07,16912,768,2442,2145,1,07007212F010420003
