frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,decoded_scan_time,decoded_contact_count,decoded_is_button_clicked,raw_scan_time,raw_contact_count,raw_is_button_clicked,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35618,1,0,35618,1,0,0,0x3E1C2C00,0x00000004,0x04,0x07,530,768,3729,2310,1,04002C1C3E12020003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35728,1,0,35728,1,0,0,0x2E1C1600,0x00000004,0x04,0x07,1042,768,3718,2302,1,0400161C2E12040003
2,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35838,1,0,35838,1,0,0,0x301C1400,0x00000004,0x04,0x07,1554,768,3717,2303,1,0400141C3012060003
3,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35958,1,0,35958,1,0,0,0x2E1C1400,0x00000004,0x04,0x07,1554,768,3717,2302,1,0400141C2E12060003
4,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36068,1,0,36068,1,0,0,0x2C1C1400,0x00000004,0x04,0x07,1554,768,3717,2301,1,0400141C2C12060003
5,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36178,1,0,36178,1,0,0,0x2E1C1200,0x00000004,0x04,0x07,1554,768,3716,2302,1,0400121C2E12060003
6,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36288,1,0,36288,1,0,0,0x2C1C1200,0x00000004,0x04,0x07,2066,768,3716,2301,1,0400121C2C12080003
7,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36408,1,0,36408,1,0,0,0x2A1C1200,0x00000004,0x04,0x07,2066,768,3716,2300,1,0400121C2A12080003
8,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36518,1,0,36518,1,0,0,0x2A1C1000,0x00000004,0x04,0x07,2066,768,3715,2300,1,0400101C2A12080003
9,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36628,1,0,36628,1,0,0,0x281C1200,0x00000004,0x04,0x07,2578,768,3716,2299,1,0400121C28120A0003
10,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36738,1,0,36738,1,0,0,0x281C1000,0x00000004,0x04,0x07,3090,768,3715,2299,1,0400101C28120C0003
11,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36858,1,0,36858,1,0,0,0x261C0E00,0x00000004,0x04,0x07,3602,768,3714,2298,1,04000E1C26120E0003
12,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36968,1,0,36968,1,0,0,0x241C0E00,0x00000004,0x04,0x07,4114,768,3714,2297,1,04000E1C2412100003
13,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,37078,1,0,37078,1,0,0,0x221C0C00,0x00000004,0x04,0x07,4626,768,3713,2296,1,04000C1C2212120003
14,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,37188,1,0,37188,1,0,0,0x221C0C00,0x00000004,0x04,0x07,5138,768,3713,2296,1,04000C1C2212140003
15,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,37308,1,0,37308,1,0,0,0x221C0C00,0x00000004,0x04,0x07,5138,768,3713,2296,1,04000C1C2212140003
16,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,37418,1,0,37418,1,0,0,0x201C0A00,0x00000004,0x04,0x07,5138,768,3712,2295,1,04000A1C2012140003
17,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,37528,1,0,37528,1,0,0,0x1E1C0A00,0x00000004,0x04,0x07,5138,768,3712,2294,1,04000A1C1E12140003
18,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,37638,1,0,37638,1,0,0,0x1E1C0800,0x00000004,0x04,0x07,5650,768,3711,2294,1,0400081C1E12160003
19,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,37758,1,0,37758,1,0,0,0x1E1C0800,0x00000004,0x04,0x07,5650,768,3711,2294,1,0400081C1E12160003
20,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,37868,1,0,37868,1,0,0,0x1C1C0600,0x00000004,0x04,0x07,6162,768,3710,2293,1,0400061C1C12180003
