frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,decoded_scan_time,decoded_contact_count,decoded_is_button_clicked,raw_scan_time,raw_contact_count,raw_is_button_clicked,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
7,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61464,1,0,61464,1,0,0,0x041B7400,0x00000003,0x03,0x03,531,768,3634,2408,1,0300741B0413020003
8,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61574,1,0,61574,1,0,0,0x041B7400,0x00000003,0x03,0x03,531,768,3634,2408,1,0300741B0413020003
9,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61684,1,0,61684,1,0,0,0x061B7600,0x00000003,0x03,0x03,531,768,3635,2409,1,0300761B0613020003
10,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61794,1,0,61794,1,0,0,0x0A1B7800,0x00000003,0x03,0x03,531,768,3636,2411,1,0300781B0A13020003
11,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61914,1,0,61914,1,0,0,0x0C1B7C00,0x00000003,0x03,0x03,1043,768,3638,2412,1,03007C1B0C13040003
12,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62024,1,0,62024,1,0,0,0x0E1B8000,0x00000003,0x03,0x03,1555,768,3641,2413,1,0300801B0E13060003
13,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62134,1,0,62134,1,0,0,0x0E1B8000,0x00000003,0x03,0x03,2067,768,3641,2413,1,0300801B0E13080003
14,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62244,1,0,62244,1,0,0,0x0E1B8000,0x00000003,0x03,0x03,3091,768,3641,2413,1,0300801B0E130C0003
15,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62364,1,0,62364,1,0,0,0x0C1B8000,0x00000003,0x03,0x03,3603,768,3641,2412,1,0300801B0C130E0003
16,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62474,1,0,62474,1,0,0,0x0A1B8000,0x00000003,0x03,0x03,3603,768,3641,2411,1,0300801B0A130E0003
17,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62584,1,0,62584,1,0,0,0x0A1B8200,0x00000003,0x03,0x03,3603,768,3642,2411,1,0300821B0A130E0003
18,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62694,1,0,62694,1,0,0,0x0A1B8200,0x00000003,0x03,0x03,3603,768,3642,2411,1,0300821B0A130E0003
19,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62814,1,0,62814,1,0,0,0x0A1B8200,0x00000003,0x03,0x03,3603,768,3642,2411,1,0300821B0A130E0003
20,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62924,1,0,62924,1,0,0,0x0C1B8200,0x00000003,0x03,0x03,3603,768,3642,2412,1,0300821B0C130E0003
21,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63034,1,0,63034,1,0,0,0x0C1B8200,0x00000003,0x03,0x03,3603,768,3642,2412,1,0300821B0C130E0003
22,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63144,1,0,63144,1,0,0,0x0C1B8200,0x00000003,0x03,0x03,3603,768,3642,2412,1,0300821B0C130E0003
23,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63264,1,0,63264,1,0,0,0x0C1B8200,0x00000003,0x03,0x03,3603,768,3642,2412,1,0300821B0C130E0003
24,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63374,1,0,63374,1,0,0,0x0C1B8200,0x00000003,0x03,0x03,3603,768,3642,2412,1,0300821B0C130E0003
25,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63484,1,0,63484,1,0,0,0x0C1B8000,0x00000003,0x03,0x03,3603,768,3641,2412,1,0300801B0C130E0003
26,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63594,1,0,63594,1,0,0,0x0C1B8000,0x00000003,0x03,0x03,3603,768,3641,2412,1,0300801B0C130E0003
27,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63714,1,0,63714,1,0,0,0x0C1B7E00,0x00000003,0x03,0x03,4115,768,3639,2412,1,03007E1B0C13100003
28,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63824,1,0,63824,1,0,0,0x0A1B7E00,0x00000003,0x03,0x03,5139,768,3639,2411,1,03007E1B0A13140003
29,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63934,1,0,63934,1,0,0,0x081B7E00,0x00000003,0x03,0x03,5651,768,3639,2410,1,03007E1B0813160003
30,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,64044,1,0,64044,1,0,0,0x061B7E00,0x00000003,0x03,0x03,5651,768,3639,2409,1,03007E1B0613160003
31,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,64164,1,0,64164,1,0,0,0x061B7E00,0x00000003,0x03,0x03,6163,768,3639,2409,1,03007E1B0613180003
32,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,64274,1,0,64274,1,0,0,0x041B7E00,0x00000003,0x03,0x03,6675,768,3639,2408,1,03007E1B04131A0003
33,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,64384,1,0,64384,1,0,0,0x041B7E00,0x00000003,0x03,0x03,6675,768,3639,2408,1,03007E1B04131A0003
34,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,64494,1,0,64494,1,0,0,0x041B7E00,0x00000003,0x03,0x03,6675,768,3639,2408,1,03007E1B04131A0003
35,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,64614,1,0,64614,1,0,0,0x041B8000,0x00000003,0x03,0x03,6675,768,3641,2408,1,0300801B04131A0003
36,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,64724,1,0,64724,1,0,0,0x041B8000,0x00000003,0x03,0x03,6675,768,3641,2408,1,0300801B04131A0003
37,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,64834,1,0,64834,1,0,0,0x061B8000,0x00000003,0x03,0x03,6675,768,3641,2409,1,0300801B06131A0003
38,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,64944,1,0,64944,1,0,0,0x061B8000,0x00000003,0x03,0x03,6163,768,3641,2409,1,0300801B0613180003
39,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,65064,1,0,65064,1,0,0,0x061B7E00,0x00000003,0x03,0x03,6163,768,3639,2409,1,03007E1B0613180003
40,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,65174,1,0,65174,1,0,0,0x061B7E00,0x00000003,0x03,0x03,6163,768,3639,2409,1,03007E1B0613180003
41,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,65284,1,0,65284,1,0,0,0x081B7E00,0x00000003,0x03,0x03,6163,768,3639,2410,1,03007E1B0813180003
42,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,65394,1,0,65394,1,0,0,0x081B7E00,0x00000003,0x03,0x03,6163,768,3639,2410,1,03007E1B0813180003
43,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,65514,1,0,65514,1,0,0,0x081B8000,0x00000003,0x03,0x03,6163,768,3641,2410,1,0300801B0813180003
44,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,88,1,0,88,1,0,0,0x061B8000,0x00000003,0x03,0x03,5651,768,3641,2409,1,0300801B0613160003
45,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,198,1,0,198,1,0,0,0x041B8000,0x00000003,0x03,0x03,5139,768,3641,2408,1,0300801B0413140003
46,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,308,1,0,308,1,0,0,0x021B8000,0x00000003,0x03,0x03,5139,768,3641,2407,1,0300801B0213140003
47,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,428,1,0,428,1,0,0,0x021B7E00,0x00000003,0x03,0x03,4627,768,3639,2407,1,03007E1B0213120003
