frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,decoded_scan_time,decoded_contact_count,decoded_is_button_clicked,raw_scan_time,raw_contact_count,raw_is_button_clicked,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,32922,2,0,32922,2,0,0,0xC0172E00,0x00000002,0x02,0x03,1043,768,3069,2501,1,02002E17C013040003
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,32922,2,0,32922,2,0,1,0x2C1E4A00,0x00000008,0x08,0x0B,2066,768,4010,2301,10,08004A1E2C12080003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33032,2,0,33032,2,0,0,0xD0172E00,0x00000002,0x02,0x03,1555,768,3069,2509,1,02002E17D013060003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33032,2,0,33032,2,0,1,0x2E1E3000,0x00000008,0x08,0x0B,3602,768,3996,2302,10,0800301E2E120E0003
2,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33142,2,0,33142,2,0,0,0xB8173800,0x00000002,0x02,0x03,2579,768,3074,2497,1,02003817B8130A0003
2,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33142,2,0,33142,2,0,1,0x281E2C00,0x00000008,0x08,0x0B,4626,768,3994,2299,10,08002C1E2812120003
3,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33262,2,0,33262,2,0,0,0xB4173200,0x00000002,0x02,0x03,3091,768,3071,2495,1,02003217B4130C0003
3,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33262,2,0,33262,2,0,1,0x281E2A00,0x00000008,0x08,0x0B,4626,768,3993,2299,10,08002A1E2812120003
4,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33372,2,0,33372,2,0,0,0xBA173000,0x00000002,0x02,0x03,3091,768,3070,2498,1,02003017BA130C0003
4,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33372,2,0,33372,2,0,1,0x2A1E2A00,0x00000008,0x08,0x0B,4114,768,3993,2300,10,08002A1E2A12100003
5,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33482,2,0,33482,2,0,0,0xB4173200,0x00000002,0x02,0x03,3091,768,3071,2495,1,02003217B4130C0003
5,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33482,2,0,33482,2,0,1,0x281E2800,0x00000008,0x08,0x0B,3602,768,3992,2299,10,0800281E28120E0003
6,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33592,2,0,33592,2,0,0,0xB8173000,0x00000002,0x02,0x03,3091,768,3070,2497,1,02003017B8130C0003
6,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33592,2,0,33592,2,0,1,0x2C1E2800,0x00000008,0x08,0x0B,3090,768,3992,2301,10,0800281E2C120C0003
7,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33712,2,0,33712,2,0,0,0xB8173000,0x00000002,0x02,0x03,2579,768,3070,2497,1,02003017B8130A0003
7,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33712,2,0,33712,2,0,1,0x281E2800,0x00000008,0x08,0x0B,3090,768,3992,2299,10,0800281E28120C0003
8,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33822,2,0,33822,2,0,0,0xB6173000,0x00000002,0x02,0x03,2579,768,3070,2496,1,02003017B6130A0003
8,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33822,2,0,33822,2,0,1,0x2A1E2600,0x00000008,0x08,0x0B,3090,768,3991,2300,10,0800261E2A120C0003
9,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33932,2,0,33932,2,0,0,0xB8173000,0x00000002,0x02,0x03,3091,768,3070,2497,1,02003017B8130C0003
9,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33932,2,0,33932,2,0,1,0x2A1E2800,0x00000008,0x08,0x0B,3090,768,3992,2300,10,0800281E2A120C0003
10,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34042,2,0,34042,2,0,0,0xB6172E00,0x00000002,0x02,0x03,3091,768,3069,2496,1,02002E17B6130C0003
10,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34042,2,0,34042,2,0,1,0x2A1E2600,0x00000008,0x08,0x0B,3090,768,3991,2300,10,0800261E2A120C0003
11,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34162,2,0,34162,2,0,0,0xB6172E00,0x00000002,0x02,0x03,3603,768,3069,2496,1,02002E17B6130E0003
11,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34162,2,0,34162,2,0,1,0x2A1E2600,0x00000008,0x08,0x0B,3090,768,3991,2300,10,0800261E2A120C0003
12,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34272,2,0,34272,2,0,0,0xB6172E00,0x00000002,0x02,0x03,3603,768,3069,2496,1,02002E17B6130E0003
12,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34272,2,0,34272,2,0,1,0x281E2600,0x00000008,0x08,0x0B,3090,768,3991,2299,10,0800261E28120C0003
