frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,decoded_scan_time,decoded_contact_count,decoded_is_button_clicked,raw_scan_time,raw_contact_count,raw_is_button_clicked,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33868,1,0,33868,1,0,0,0x481C6000,0x0000000B,0x0B,0x0B,3604,768,3756,2568,1,0B00601C48140E0003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33978,1,0,33978,1,0,0,0x4A1C5400,0x0000000B,0x0B,0x0B,5140,768,3750,2569,1,0B00541C4A14140003
2,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34088,1,0,34088,1,0,0,0x4A1C5A00,0x0000000B,0x0B,0x0B,5140,768,3753,2569,1,0B005A1C4A14140003
3,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34208,1,0,34208,1,0,0,0x4A1C5800,0x0000000B,0x0B,0x0B,5652,768,3752,2569,1,0B00581C4A14160003
4,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34318,1,0,34318,1,0,0,0x481C5A00,0x0000000B,0x0B,0x0B,5652,768,3753,2568,1,0B005A1C4814160003
5,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34428,1,0,34428,1,0,0,0x461C5C00,0x0000000B,0x0B,0x0B,6164,768,3754,2567,1,0B005C1C4614180003
6,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34538,1,0,34538,1,0,0,0x461C5800,0x0000000B,0x0B,0x0B,6164,768,3752,2567,1,0B00581C4614180003
7,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34658,1,0,34658,1,0,0,0x481C5800,0x0000000B,0x0B,0x0B,6164,768,3752,2568,1,0B00581C4814180003
8,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34768,1,0,34768,1,0,0,0x481C5800,0x0000000B,0x0B,0x0B,6164,768,3752,2568,1,0B00581C4814180003
9,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34878,1,0,34878,1,0,0,0x481C5600,0x0000000B,0x0B,0x0B,6164,768,3751,2568,1,0B00561C4814180003
10,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34988,1,0,34988,1,0,0,0x481C5600,0x0000000B,0x0B,0x0B,6164,768,3751,2568,1,0B00561C4814180003
11,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35108,1,0,35108,1,0,0,0x481C5600,0x0000000B,0x0B,0x0B,6164,768,3751,2568,1,0B00561C4814180003
12,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35218,1,0,35218,1,0,0,0x461C5600,0x0000000B,0x0B,0x0B,6164,768,3751,2567,1,0B00561C4614180003
13,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35328,1,0,35328,1,0,0,0x481C5600,0x0000000B,0x0B,0x0B,6164,768,3751,2568,1,0B00561C4814180003
14,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35438,1,0,35438,1,0,0,0x481C5600,0x0000000B,0x0B,0x0B,6676,768,3751,2568,1,0B00561C48141A0003
15,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35558,1,0,35558,1,0,0,0x481C5600,0x0000000B,0x0B,0x0B,6676,768,3751,2568,1,0B00561C48141A0003
16,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35668,1,0,35668,1,0,0,0x461C5600,0x0000000B,0x0B,0x0B,7188,768,3751,2567,1,0B00561C46141C0003
17,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35778,1,0,35778,1,0,0,0x461C5600,0x0000000B,0x0B,0x0B,7188,768,3751,2567,1,0B00561C46141C0003
18,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35888,1,0,35888,1,0,0,0x441C5600,0x0000000B,0x0B,0x0B,7188,768,3751,2566,1,0B00561C44141C0003
19,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36008,1,0,36008,1,0,0,0x441C5400,0x0000000B,0x0B,0x0B,7700,768,3750,2566,1,0B00541C44141E0003
20,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36118,1,0,36118,1,0,0,0x421C5400,0x0000000B,0x0B,0x0B,7700,768,3750,2565,1,0B00541C42141E0003
21,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36228,1,0,36228,1,0,0,0x401C5400,0x0000000B,0x0B,0x0B,7700,768,3750,2564,1,0B00541C40141E0003
22,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36338,1,0,36338,1,0,0,0x401C5400,0x0000000B,0x0B,0x0B,8212,768,3750,2564,1,0B00541C4014200003
23,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36458,1,0,36458,1,0,0,0x401C5400,0x0000000B,0x0B,0x0B,8212,768,3750,2564,1,0B00541C4014200003
24,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36568,1,0,36568,1,0,0,0x3E1C5400,0x0000000B,0x0B,0x0B,8724,768,3750,2563,1,0B00541C3E14220003
25,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36678,1,0,36678,1,0,0,0x3E1C5400,0x0000000B,0x0B,0x0B,8724,768,3750,2563,1,0B00541C3E14220003
26,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36788,1,0,36788,1,0,0,0x3E1C5400,0x0000000B,0x0B,0x0B,8724,768,3750,2563,1,0B00541C3E14220003
27,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36908,1,0,36908,1,0,0,0x3E1C5400,0x0000000B,0x0B,0x0B,9236,768,3750,2563,1,0B00541C3E14240003
28,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,37018,1,0,37018,1,0,0,0x3E1C5400,0x0000000B,0x0B,0x0B,9236,768,3750,2563,1,0B00541C3E14240003
29,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,37128,1,0,37128,1,0,0,0x3E1C5200,0x0000000B,0x0B,0x0B,9748,768,3749,2563,1,0B00521C3E14260003
30,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,37238,1,0,37238,1,0,0,0x3E1C5400,0x0000000B,0x0B,0x0B,9748,768,3750,2563,1,0B00541C3E14260003
31,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,37358,1,0,37358,1,0,0,0x3C1C5200,0x0000000B,0x0B,0x0B,9748,768,3749,2562,1,0B00521C3C14260003
32,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,37468,1,0,37468,1,0,0,0x3C1C5200,0x0000000B,0x0B,0x0B,9748,768,3749,2562,1,0B00521C3C14260003
33,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,37578,1,0,37578,1,0,0,0x3C1C5200,0x0000000B,0x0B,0x0B,9748,768,3749,2562,1,0B00521C3C14260003
34,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,37688,1,0,37688,1,0,0,0x3C1C5200,0x0000000B,0x0B,0x0B,9748,768,3749,2562,1,0B00521C3C14260003
35,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,37808,1,0,37808,1,0,0,0x3C1C5200,0x0000000B,0x0B,0x0B,9748,768,3749,2562,1,0B00521C3C14260003
36,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,37918,1,0,37918,1,0,0,0x3C1C5200,0x0000000B,0x0B,0x0B,9748,768,3749,2562,1,0B00521C3C14260003
37,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,38028,1,0,38028,1,0,0,0x3C1C5200,0x0000000B,0x0B,0x0B,9748,768,3749,2562,1,0B00521C3C14260003
38,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,38138,1,0,38138,1,0,0,0x3A1C5200,0x0000000B,0x0B,0x0B,9748,768,3749,2561,1,0B00521C3A14260003
39,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,38258,1,0,38258,1,0,0,0x3C1C5200,0x0000000B,0x0B,0x0B,9748,768,3749,2562,1,0B00521C3C14260003
40,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,38368,1,0,38368,1,0,0,0x3A1C5400,0x0000000B,0x0B,0x0B,9748,768,3750,2561,1,0B00541C3A14260003
41,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,38478,1,0,38478,1,0,0,0x3C1C5400,0x0000000B,0x0B,0x0B,9748,768,3750,2562,1,0B00541C3C14260003
42,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,38588,1,0,38588,1,0,0,0x3C1C5400,0x0000000B,0x0B,0x0B,9236,768,3750,2562,1,0B00541C3C14240003
43,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,38708,1,0,38708,1,0,0,0x3E1C5400,0x0000000B,0x0B,0x0B,9236,768,3750,2563,1,0B00541C3E14240003
44,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,38818,1,0,38818,1,0,0,0x3E1C5400,0x0000000B,0x0B,0x0B,9236,768,3750,2563,1,0B00541C3E14240003
45,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,38928,1,0,38928,1,0,0,0x3E1C5200,0x0000000B,0x0B,0x0B,9236,768,3749,2563,1,0B00521C3E14240003
46,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,39038,1,0,39038,1,0,0,0x3E1C5200,0x0000000B,0x0B,0x0B,9236,768,3749,2563,1,0B00521C3E14240003
47,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,39158,1,0,39158,1,0,0,0x3E1C5200,0x0000000B,0x0B,0x0B,9236,768,3749,2563,1,0B00521C3E14240003
48,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,39268,1,0,39268,1,0,0,0x401C5200,0x0000000B,0x0B,0x0B,9748,768,3749,2564,1,0B00521C4014260003
49,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,39378,1,0,39378,1,0,0,0x401C5400,0x0000000B,0x0B,0x0B,9748,768,3750,2564,1,0B00541C4014260003
50,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,39488,1,0,39488,1,0,0,0x401C5400,0x0000000B,0x0B,0x0B,10260,768,3750,2564,1,0B00541C4014280003
51,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,39608,1,0,39608,1,0,0,0x401C5400,0x0000000B,0x0B,0x0B,10260,768,3750,2564,1,0B00541C4014280003
52,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,39718,1,0,39718,1,0,0,0x401C5600,0x0000000B,0x0B,0x0B,10260,768,3751,2564,1,0B00561C4014280003
53,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,39828,1,0,39828,1,0,0,0x3E1C5600,0x0000000B,0x0B,0x0B,10772,768,3751,2563,1,0B00561C3E142A0003
54,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,39938,1,0,39938,1,0,0,0x3E1C5600,0x0000000B,0x0B,0x0B,10772,768,3751,2563,1,0B00561C3E142A0003
55,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,40058,1,0,40058,1,0,0,0x3E1C5600,0x0000000B,0x0B,0x0B,10772,768,3751,2563,1,0B00561C3E142A0003
56,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,40168,1,0,40168,1,0,0,0x3E1C5600,0x0000000B,0x0B,0x0B,11284,768,3751,2563,1,0B00561C3E142C0003
57,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,40278,1,0,40278,1,0,0,0x3E1C5600,0x0000000B,0x0B,0x0B,11284,768,3751,2563,1,0B00561C3E142C0003
58,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,40388,1,0,40388,1,0,0,0x3E1C5800,0x0000000B,0x0B,0x0B,11796,768,3752,2563,1,0B00581C3E142E0003
