frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,decoded_scan_time,decoded_contact_count,decoded_is_button_clicked,raw_scan_time,raw_contact_count,raw_is_button_clicked,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,57290,1,0,57290,1,0,0,0xD81C7A00,0x0000000B,0x0B,0x0B,530,768,3770,2386,1,0B007A1CD812020003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,57400,1,0,57400,1,0,0,0xDC1C6A00,0x0000000B,0x0B,0x0B,1554,768,3762,2388,1,0B006A1CDC12060003
2,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,57510,1,0,57510,1,0,0,0xCE1C6C00,0x0000000B,0x0B,0x0B,1554,768,3763,2381,1,0B006C1CCE12060003
3,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,57630,1,0,57630,1,0,0,0xCC1C6A00,0x0000000B,0x0B,0x0B,1554,768,3762,2380,1,0B006A1CCC12060003
4,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,57740,1,0,57740,1,0,0,0xC81C6A00,0x0000000B,0x0B,0x0B,2578,768,3762,2378,1,0B006A1CC8120A0003
5,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,57850,1,0,57850,1,0,0,0xC81C6A00,0x0000000B,0x0B,0x0B,3090,768,3762,2378,1,0B006A1CC8120C0003
6,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,57960,1,0,57960,1,0,0,0xC61C6A00,0x0000000B,0x0B,0x0B,3602,768,3762,2377,1,0B006A1CC6120E0003
7,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,58080,1,0,58080,1,0,0,0xC81C6800,0x0000000B,0x0B,0x0B,5138,768,3760,2378,1,0B00681CC812140003
8,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,58190,1,0,58190,1,0,0,0xC61C6A00,0x0000000B,0x0B,0x0B,6674,768,3762,2377,1,0B006A1CC6121A0003
9,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,58300,1,0,58300,1,0,0,0xC81C6A00,0x0000000B,0x0B,0x0B,8210,768,3762,2378,1,0B006A1CC812200003
10,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,58410,1,0,58410,1,0,0,0xCA1C6E00,0x0000000B,0x0B,0x0B,10258,768,3764,2379,1,0B006E1CCA12280003
11,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,58530,1,0,58530,1,0,0,0xCA1C6E00,0x0000000B,0x0B,0x0B,12306,768,3764,2379,1,0B006E1CCA12300003
12,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,58640,1,0,58640,1,0,0,0xCC1C7200,0x0000000B,0x0B,0x0B,13842,768,3766,2380,1,0B00721CCC12360003
13,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,58750,1,0,58750,1,0,0,0xCC1C7400,0x0000000B,0x0B,0x0B,16402,768,3767,2380,1,0B00741CCC12400003
