frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,decoded_scan_time,decoded_contact_count,decoded_is_button_clicked,raw_scan_time,raw_contact_count,raw_is_button_clicked,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,59214,1,0,59214,1,0,0,0x401A1A00,0x00000009,0x09,0x0B,533,768,3455,2691,1,09001A1A4015020003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,59324,1,0,59324,1,0,0,0x441A1800,0x00000009,0x09,0x0B,1557,768,3454,2693,1,0900181A4415060003
2,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,59434,1,0,59434,1,0,0,0x481A1A00,0x00000009,0x09,0x0B,2069,768,3455,2695,1,09001A1A4815080003
3,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,59554,1,0,59554,1,0,0,0x481A1800,0x00000009,0x09,0x0B,2581,768,3454,2695,1,0900181A48150A0003
4,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,59664,1,0,59664,1,0,0,0x4C1A1800,0x00000009,0x09,0x0B,2581,768,3454,2697,1,0900181A4C150A0003
5,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,59774,1,0,59774,1,0,0,0x4C1A1600,0x00000009,0x09,0x0B,3093,768,3453,2697,1,0900161A4C150C0003
6,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,59884,1,0,59884,1,0,0,0x4C1A1600,0x00000009,0x09,0x0B,3093,768,3453,2697,1,0900161A4C150C0003
7,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60004,1,0,60004,1,0,0,0x4E1A1400,0x00000009,0x09,0x0B,3605,768,3452,2698,1,0900141A4E150E0003
8,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60114,1,0,60114,1,0,0,0x501A1400,0x00000009,0x09,0x0B,3605,768,3452,2699,1,0900141A50150E0003
9,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60224,1,0,60224,1,0,0,0x501A1200,0x00000009,0x09,0x0B,4117,768,3451,2699,1,0900121A5015100003
10,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60334,1,0,60334,1,0,0,0x501A1000,0x00000009,0x09,0x0B,4629,768,3450,2699,1,0900101A5015120003
11,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60454,1,0,60454,1,0,0,0x521A1200,0x00000009,0x09,0x0B,4629,768,3451,2700,1,0900121A5215120003
12,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60564,1,0,60564,1,0,0,0x521A1200,0x00000009,0x09,0x0B,5141,768,3451,2700,1,0900121A5215140003
13,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60674,1,0,60674,1,0,0,0x521A1000,0x00000009,0x09,0x0B,5653,768,3450,2700,1,0900101A5215160003
14,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60784,1,0,60784,1,0,0,0x521A1000,0x00000009,0x09,0x0B,6165,768,3450,2700,1,0900101A5215180003
15,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60904,1,0,60904,1,0,0,0x541A1000,0x00000009,0x09,0x0B,6677,768,3450,2701,1,0900101A54151A0003
16,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61014,1,0,61014,1,0,0,0x541A1000,0x00000009,0x09,0x0B,7189,768,3450,2701,1,0900101A54151C0003
17,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61124,1,0,61124,1,0,0,0x541A1000,0x00000009,0x09,0x0B,7189,768,3450,2701,1,0900101A54151C0003
18,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61234,1,0,61234,1,0,0,0x541A1200,0x00000009,0x09,0x0B,7701,768,3451,2701,1,0900121A54151E0003
19,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61354,1,0,61354,1,0,0,0x541A1200,0x00000009,0x09,0x0B,7701,768,3451,2701,1,0900121A54151E0003
20,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61464,1,0,61464,1,0,0,0x541A1000,0x00000009,0x09,0x0B,8213,768,3450,2701,1,0900101A5415200003
21,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61574,1,0,61574,1,0,0,0x541A1000,0x00000009,0x09,0x0B,8725,768,3450,2701,1,0900101A5415220003
22,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61684,1,0,61684,1,0,0,0x541A1000,0x00000009,0x09,0x0B,9237,768,3450,2701,1,0900101A5415240003
23,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61804,1,0,61804,1,0,0,0x541A1000,0x00000009,0x09,0x0B,9237,768,3450,2701,1,0900101A5415240003
24,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61914,1,0,61914,1,0,0,0x541A1000,0x00000009,0x09,0x0B,9749,768,3450,2701,1,0900101A5415260003
25,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62024,1,0,62024,1,0,0,0x541A1000,0x00000009,0x09,0x0B,10261,768,3450,2701,1,0900101A5415280003
26,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62134,1,0,62134,1,0,0,0x541A0E00,0x00000009,0x09,0x0B,10261,768,3449,2701,1,09000E1A5415280003
27,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62254,1,0,62254,1,0,0,0x541A0E00,0x00000009,0x09,0x0B,10773,768,3449,2701,1,09000E1A54152A0003
28,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62364,1,0,62364,1,0,0,0x561A0E00,0x00000009,0x09,0x0B,10773,768,3449,2702,1,09000E1A56152A0003
29,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62474,1,0,62474,1,0,0,0x541A0E00,0x00000009,0x09,0x0B,11285,768,3449,2701,1,09000E1A54152C0003
30,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62584,1,0,62584,1,0,0,0x561A0E00,0x00000009,0x09,0x0B,11285,768,3449,2702,1,09000E1A56152C0003
31,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62704,1,0,62704,1,0,0,0x561A0E00,0x00000009,0x09,0x0B,11285,768,3449,2702,1,09000E1A56152C0003
32,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62814,1,0,62814,1,0,0,0x561A0E00,0x00000009,0x09,0x0B,11285,768,3449,2702,1,09000E1A56152C0003
33,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62924,1,0,62924,1,0,0,0x561A0E00,0x00000009,0x09,0x0B,11285,768,3449,2702,1,09000E1A56152C0003
