frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,decoded_scan_time,decoded_contact_count,decoded_is_button_clicked,raw_scan_time,raw_contact_count,raw_is_button_clicked,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34604,1,0,34604,1,0,0,0x041B2000,0x00000006,0x06,0x07,4117,768,3591,2661,1,0600201B0415100003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34714,1,0,34714,1,0,0,0x021B2C00,0x00000006,0x06,0x07,6165,768,3597,2660,1,06002C1B0215180003
2,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34824,1,0,34824,1,0,0,0x041B3000,0x00000006,0x06,0x07,7189,768,3599,2661,1,0600301B04151C0003
3,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,34944,1,0,34944,1,0,0,0x061B3000,0x00000006,0x06,0x07,7701,768,3599,2662,1,0600301B06151E0003
4,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35054,1,0,35054,1,0,0,0x081B3200,0x00000006,0x06,0x07,7701,768,3600,2663,1,0600321B08151E0003
5,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35164,1,0,35164,1,0,0,0x081B3400,0x00000006,0x06,0x07,8213,768,3601,2663,1,0600341B0815200003
6,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35274,1,0,35274,1,0,0,0x061B3400,0x00000006,0x06,0x07,8725,768,3601,2662,1,0600341B0615220003
7,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35394,1,0,35394,1,0,0,0x041B3600,0x00000006,0x06,0x07,9749,768,3602,2661,1,0600361B0415260003
8,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35504,1,0,35504,1,0,0,0x041B3800,0x00000006,0x06,0x07,10773,768,3603,2661,1,0600381B04152A0003
9,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35614,1,0,35614,1,0,0,0x041B3800,0x00000006,0x06,0x07,11285,768,3603,2661,1,0600381B04152C0003
10,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35724,1,0,35724,1,0,0,0x041B3800,0x00000006,0x06,0x07,11797,768,3603,2661,1,0600381B04152E0003
11,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35844,1,0,35844,1,0,0,0x021B3600,0x00000006,0x06,0x07,12821,768,3602,2660,1,0600361B0215320003
12,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,35954,1,0,35954,1,0,0,0x021B3600,0x00000006,0x06,0x07,13845,768,3602,2660,1,0600361B0215360003
13,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36064,1,0,36064,1,0,0,0x021B3600,0x00000006,0x06,0x07,14357,768,3602,2660,1,0600361B0215380003
14,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36174,1,0,36174,1,0,0,0x001B3600,0x00000006,0x06,0x07,14869,768,3602,2659,1,0600361B00153A0003
15,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36294,1,0,36294,1,0,0,0xFE1B3600,0x00000006,0x06,0x07,15892,768,3602,2658,1,0600361BFE143E0003
16,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36404,1,0,36404,1,0,0,0xFE1B3600,0x00000006,0x06,0x07,15892,768,3602,2658,1,0600361BFE143E0003
17,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36514,1,0,36514,1,0,0,0xFE1B3600,0x00000006,0x06,0x07,16404,768,3602,2658,1,0600361BFE14400003
18,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36624,1,0,36624,1,0,0,0xFC1B3600,0x00000006,0x06,0x07,16404,768,3602,2657,1,0600361BFC14400003
19,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36744,1,0,36744,1,0,0,0xFA1B3600,0x00000006,0x06,0x07,16404,768,3602,2656,1,0600361BFA14400003
20,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,36854,1,0,36854,1,0,0,0xFA1B3600,0x00000006,0x06,0x07,16404,768,3602,2656,1,0600361BFA14400003
