frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,decoded_scan_time,decoded_contact_count,decoded_is_button_clicked,raw_scan_time,raw_contact_count,raw_is_button_clicked,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,56636,1,0,56636,1,0,0,0xF415EC00,0x0000000B,0x0B,0x0B,6167,768,2902,3033,1,0B00EC15F417180003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,56756,1,0,56756,1,0,0,0xF415EC00,0x0000000B,0x0B,0x0B,6167,768,2902,3033,1,0B00EC15F417180003
2,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,56866,1,0,56866,1,0,0,0xF415EC00,0x0000000B,0x0B,0x0B,6167,768,2902,3033,1,0B00EC15F417180003
3,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,56976,1,0,56976,1,0,0,0xF215EC00,0x0000000B,0x0B,0x0B,6167,768,2902,3032,1,0B00EC15F217180003
4,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,57086,1,0,57086,1,0,0,0xF215EC00,0x0000000B,0x0B,0x0B,6167,768,2902,3032,1,0B00EC15F217180003
5,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,57206,1,0,57206,1,0,0,0xF215EC00,0x0000000B,0x0B,0x0B,5655,768,2902,3032,1,0B00EC15F217160003
6,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,57316,1,0,57316,1,0,0,0xF215EC00,0x0000000B,0x0B,0x0B,5143,768,2902,3032,1,0B00EC15F217140003
7,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,57426,1,0,57426,1,0,0,0xF215EC00,0x0000000B,0x0B,0x0B,4631,768,2902,3032,1,0B00EC15F217120003
8,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,57536,1,0,57536,1,0,0,0xF415EC00,0x0000000B,0x0B,0x0B,4119,768,2902,3033,1,0B00EC15F417100003
9,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,57656,1,0,57656,1,0,0,0xF415EC00,0x0000000B,0x0B,0x0B,4119,768,2902,3033,1,0B00EC15F417100003
10,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,57766,1,0,57766,1,0,0,0xF415EC00,0x0000000B,0x0B,0x0B,4119,768,2902,3033,1,0B00EC15F417100003
11,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,57876,1,0,57876,1,0,0,0xF615EC00,0x0000000B,0x0B,0x0B,3607,768,2902,3034,1,0B00EC15F6170E0003
12,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,57986,1,0,57986,1,0,0,0xF615EC00,0x0000000B,0x0B,0x0B,3607,768,2902,3034,1,0B00EC15F6170E0003
13,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,58106,1,0,58106,1,0,0,0xF815EE00,0x0000000B,0x0B,0x0B,3095,768,2903,3035,1,0B00EE15F8170C0003
14,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,58216,1,0,58216,1,0,0,0xF615EE00,0x0000000B,0x0B,0x0B,3095,768,2903,3034,1,0B00EE15F6170C0003
15,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,58326,1,0,58326,1,0,0,0xF815EE00,0x0000000B,0x0B,0x0B,3095,768,2903,3035,1,0B00EE15F8170C0003
16,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,58436,1,0,58436,1,0,0,0xF815EE00,0x0000000B,0x0B,0x0B,3095,768,2903,3035,1,0B00EE15F8170C0003
17,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,58556,1,0,58556,1,0,0,0xF815EE00,0x0000000B,0x0B,0x0B,3095,768,2903,3035,1,0B00EE15F8170C0003
18,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,58666,1,0,58666,1,0,0,0xF815EE00,0x0000000B,0x0B,0x0B,3095,768,2903,3035,1,0B00EE15F8170C0003
19,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,58776,1,0,58776,1,0,0,0xFA15EE00,0x0000000B,0x0B,0x0B,3095,768,2903,3036,1,0B00EE15FA170C0003
20,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,58886,1,0,58886,1,0,0,0xFA15EE00,0x0000000B,0x0B,0x0B,3095,768,2903,3036,1,0B00EE15FA170C0003
21,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,59006,1,0,59006,1,0,0,0xFA15F000,0x0000000B,0x0B,0x0B,3095,768,2904,3036,1,0B00F015FA170C0003
22,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,59116,1,0,59116,1,0,0,0xF815F000,0x0000000B,0x0B,0x0B,3095,768,2904,3035,1,0B00F015F8170C0003
23,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,59226,1,0,59226,1,0,0,0xF815F000,0x0000000B,0x0B,0x0B,3095,768,2904,3035,1,0B00F015F8170C0003
24,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,59336,1,0,59336,1,0,0,0xFA15F000,0x0000000B,0x0B,0x0B,2583,768,2904,3036,1,0B00F015FA170A0003
25,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,59456,1,0,59456,1,0,0,0xFA15F000,0x0000000B,0x0B,0x0B,2583,768,2904,3036,1,0B00F015FA170A0003
26,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,59566,1,0,59566,1,0,0,0xFA15F000,0x0000000B,0x0B,0x0B,2583,768,2904,3036,1,0B00F015FA170A0003
27,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,59676,1,0,59676,1,0,0,0xFA15F000,0x0000000B,0x0B,0x0B,2583,768,2904,3036,1,0B00F015FA170A0003
28,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,59786,1,0,59786,1,0,0,0xFE15F200,0x0000000B,0x0B,0x0B,2583,768,2905,3038,1,0B00F215FE170A0003
29,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,59906,1,0,59906,1,0,0,0x0015F200,0x0000000B,0x0B,0x0B,2584,768,2905,3039,1,0B00F21500180A0003
30,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60016,1,0,60016,1,0,0,0x0415F400,0x0000000B,0x0B,0x0B,2584,768,2906,3041,1,0B00F41504180A0003
31,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60126,1,0,60126,1,0,0,0x0615F400,0x0000000B,0x0B,0x0B,2584,768,2906,3042,1,0B00F41506180A0003
32,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60236,1,0,60236,1,0,0,0x0615F400,0x0000000B,0x0B,0x0B,2584,768,2906,3042,1,0B00F41506180A0003
33,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60356,1,0,60356,1,0,0,0x0815F600,0x0000000B,0x0B,0x0B,2584,768,2907,3043,1,0B00F61508180A0003
34,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60466,1,0,60466,1,0,0,0x0A15F600,0x0000000B,0x0B,0x0B,3096,768,2907,3044,1,0B00F6150A180C0003
35,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60576,1,0,60576,1,0,0,0x0A15F800,0x0000000B,0x0B,0x0B,3096,768,2908,3044,1,0B00F8150A180C0003
36,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60686,1,0,60686,1,0,0,0x0A15F800,0x0000000B,0x0B,0x0B,3096,768,2908,3044,1,0B00F8150A180C0003
37,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60806,1,0,60806,1,0,0,0x0A15F800,0x0000000B,0x0B,0x0B,3096,768,2908,3044,1,0B00F8150A180C0003
38,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,60916,1,0,60916,1,0,0,0x0A15FA00,0x0000000B,0x0B,0x0B,3096,768,2909,3044,1,0B00FA150A180C0003
39,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61026,1,0,61026,1,0,0,0x0A15FA00,0x0000000B,0x0B,0x0B,3096,768,2909,3044,1,0B00FA150A180C0003
40,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61136,1,0,61136,1,0,0,0x0A15FA00,0x0000000B,0x0B,0x0B,3096,768,2909,3044,1,0B00FA150A180C0003
41,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61256,1,0,61256,1,0,0,0x0A15FA00,0x0000000B,0x0B,0x0B,3096,768,2909,3044,1,0B00FA150A180C0003
42,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61366,1,0,61366,1,0,0,0x0A15FA00,0x0000000B,0x0B,0x0B,2584,768,2909,3044,1,0B00FA150A180A0003
43,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61476,1,0,61476,1,0,0,0x0A15FA00,0x0000000B,0x0B,0x0B,2584,768,2909,3044,1,0B00FA150A180A0003
44,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61586,1,0,61586,1,0,0,0x0A15FA00,0x0000000B,0x0B,0x0B,2072,768,2909,3044,1,0B00FA150A18080003
45,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61706,1,0,61706,1,0,0,0x0A15FA00,0x0000000B,0x0B,0x0B,2072,768,2909,3044,1,0B00FA150A18080003
46,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61816,1,0,61816,1,0,0,0x0A15F800,0x0000000B,0x0B,0x0B,2072,768,2908,3044,1,0B00F8150A18080003
47,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,61926,1,0,61926,1,0,0,0x0A15F800,0x0000000B,0x0B,0x0B,2072,768,2908,3044,1,0B00F8150A18080003
48,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62036,1,0,62036,1,0,0,0x0A15F800,0x0000000B,0x0B,0x0B,2072,768,2908,3044,1,0B00F8150A18080003
49,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62156,1,0,62156,1,0,0,0x0A15F800,0x0000000B,0x0B,0x0B,2072,768,2908,3044,1,0B00F8150A18080003
50,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62266,1,0,62266,1,0,0,0x0A15F800,0x0000000B,0x0B,0x0B,2072,768,2908,3044,1,0B00F8150A18080003
51,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62376,1,0,62376,1,0,0,0x0A15F800,0x0000000B,0x0B,0x0B,2072,768,2908,3044,1,0B00F8150A18080003
52,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62486,1,0,62486,1,0,0,0x0A15F800,0x0000000B,0x0B,0x0B,2072,768,2908,3044,1,0B00F8150A18080003
53,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62606,1,0,62606,1,0,0,0x0A15F800,0x0000000B,0x0B,0x0B,2072,768,2908,3044,1,0B00F8150A18080003
54,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62716,1,0,62716,1,0,0,0x0A15F800,0x0000000B,0x0B,0x0B,2072,768,2908,3044,1,0B00F8150A18080003
55,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62826,1,0,62826,1,0,0,0x0A15FA00,0x0000000B,0x0B,0x0B,2072,768,2909,3044,1,0B00FA150A18080003
56,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,62936,1,0,62936,1,0,0,0x0A15F800,0x0000000B,0x0B,0x0B,2072,768,2908,3044,1,0B00F8150A18080003
57,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63056,1,0,63056,1,0,0,0x0A15FA00,0x0000000B,0x0B,0x0B,2072,768,2909,3044,1,0B00FA150A18080003
58,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63166,1,0,63166,1,0,0,0x0A15FA00,0x0000000B,0x0B,0x0B,2072,768,2909,3044,1,0B00FA150A18080003
59,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,63276,1,0,63276,1,0,0,0x0A15FA00,0x0000000B,0x0B,0x0B,2072,768,2909,3044,1,0B00FA150A18080003
