frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,decoded_scan_time,decoded_contact_count,decoded_is_button_clicked,raw_scan_time,raw_contact_count,raw_is_button_clicked,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,47760,1,0,47760,1,0,0,0x76032000,0x0000000B,0x0B,0x0B,3074,768,414,312,1,0B00200376020C0003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,47870,1,0,47870,1,0,0,0x6E032200,0x0000000B,0x0B,0x0B,4610,768,415,308,1,0B0022036E02120003
2,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,47990,1,0,47990,1,0,0,0x76032400,0x0000000B,0x0B,0x0B,5634,768,416,312,1,0B0024037602160003
3,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,48100,1,0,48100,1,0,0,0x74032200,0x0000000B,0x0B,0x0B,6146,768,415,311,1,0B0022037402180003
4,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,48210,1,0,48210,1,0,0,0x76032400,0x0000000B,0x0B,0x0B,6146,768,416,312,1,0B0024037602180003
5,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,48320,1,0,48320,1,0,0,0x72032600,0x0000000B,0x0B,0x0B,6658,768,417,310,1,0B00260372021A0003
6,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,48440,1,0,48440,1,0,0,0x72032A00,0x0000000B,0x0B,0x0B,7682,768,419,310,1,0B002A0372021E0003
7,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,48550,1,0,48550,1,0,0,0x74032800,0x0000000B,0x0B,0x0B,8194,768,418,311,1,0B0028037402200003
8,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,48660,1,0,48660,1,0,0,0x70032800,0x0000000B,0x0B,0x0B,9730,768,418,309,1,0B0028037002260003
9,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,48770,1,0,48770,1,0,0,0x70032A00,0x0000000B,0x0B,0x0B,11266,768,419,309,1,0B002A0370022C0003
10,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,48890,1,0,48890,1,0,0,0x72032800,0x0000000B,0x0B,0x0B,12802,768,418,310,1,0B0028037202320003
11,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,49000,1,0,49000,1,0,0,0x72032800,0x0000000B,0x0B,0x0B,14850,768,418,310,1,0B00280372023A0003
12,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,49110,1,0,49110,1,0,0,0x72032800,0x0000000B,0x0B,0x0B,16898,768,418,310,1,0B0028037202420003
13,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,49220,1,0,49220,1,0,0,0x70032600,0x0000000B,0x0B,0x0B,18946,768,417,309,1,0B00260370024A0003
14,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,49340,1,0,49340,1,0,0,0x6E032800,0x0000000B,0x0B,0x0B,19970,768,418,308,1,0B0028036E024E0003
15,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,49450,1,0,49450,1,0,0,0x6C032600,0x0000000B,0x0B,0x0B,21506,768,417,307,1,0B0026036C02540003
16,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,49560,1,0,49560,1,0,0,0x6A032400,0x0000000B,0x0B,0x0B,22530,768,416,306,1,0B0024036A02580003
17,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,49670,1,0,49670,1,0,0,0x68032200,0x0000000B,0x0B,0x0B,23554,768,415,305,1,0B00220368025C0003
18,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,49790,1,0,49790,1,0,0,0x66032200,0x0000000B,0x0B,0x0B,24578,768,415,304,1,0B0022036602600003
19,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,49900,1,0,49900,1,0,0,0x64032200,0x0000000B,0x0B,0x0B,26114,768,415,303,1,0B0022036402660003
20,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,50010,1,0,50010,1,0,0,0x62032000,0x0000000B,0x0B,0x0B,27138,768,414,302,1,0B00200362026A0003
21,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,50120,1,0,50120,1,0,0,0x60032000,0x0000000B,0x0B,0x0B,29186,768,414,301,1,0B0020036002720003
