frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,decoded_scan_time,decoded_contact_count,decoded_is_button_clicked,raw_scan_time,raw_contact_count,raw_is_button_clicked,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,28200,1,0,28200,1,0,0,0x8A1BF800,0x00000004,0x04,0x07,1042,768,3703,2348,1,0400F81B8A12040003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,28310,1,0,28310,1,0,0,0x901C0800,0x00000004,0x04,0x07,2066,768,3711,2350,1,0400081C9012080003
2,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,28420,1,0,28420,1,0,0,0x921C0800,0x00000004,0x04,0x07,2578,768,3711,2351,1,0400081C92120A0003
3,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,28540,1,0,28540,1,0,0,0x8E1C0600,0x00000004,0x04,0x07,3090,768,3710,2349,1,0400061C8E120C0003
4,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,28650,1,0,28650,1,0,0,0x8E1C0600,0x00000004,0x04,0x07,3602,768,3710,2349,1,0400061C8E120E0003
5,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,28760,1,0,28760,1,0,0,0x8C1C0400,0x00000004,0x04,0x07,4114,768,3709,2348,1,0400041C8C12100003
6,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,28870,1,0,28870,1,0,0,0x8C1C0200,0x00000004,0x04,0x07,4626,768,3708,2348,1,0400021C8C12120003
7,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,28990,1,0,28990,1,0,0,0x8A1C0200,0x00000004,0x04,0x07,5138,768,3708,2348,1,0400021C8A12140003
8,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,29100,1,0,29100,1,0,0,0x8A1C0200,0x00000004,0x04,0x07,5650,768,3708,2348,1,0400021C8A12160003
9,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,29210,1,0,29210,1,0,0,0x8A1C0000,0x00000004,0x04,0x07,6162,768,3707,2348,1,0400001C8A12180003
10,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,29320,1,0,29320,1,0,0,0x8C1C0200,0x00000004,0x04,0x07,6674,768,3708,2348,1,0400021C8C121A0003
11,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,29440,1,0,29440,1,0,0,0x8C1C0000,0x00000004,0x04,0x07,6674,768,3707,2348,1,0400001C8C121A0003
12,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,29550,1,0,29550,1,0,0,0x8A1C0000,0x00000004,0x04,0x07,7186,768,3707,2348,1,0400001C8A121C0003
13,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,29660,1,0,29660,1,0,0,0x8A1BFE00,0x00000004,0x04,0x07,7698,768,3706,2348,1,0400FE1B8A121E0003
14,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,29770,1,0,29770,1,0,0,0x8A1BFE00,0x00000004,0x04,0x07,8722,768,3706,2348,1,0400FE1B8A12220003
15,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,29890,1,0,29890,1,0,0,0x8A1BFC00,0x00000004,0x04,0x07,9746,768,3705,2348,1,0400FC1B8A12260003
16,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,30000,1,0,30000,1,0,0,0x881BFA00,0x00000004,0x04,0x07,10770,768,3704,2347,1,0400FA1B88122A0003
17,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,30110,1,0,30110,1,0,0,0x881BFA00,0x00000004,0x04,0x07,11794,768,3704,2347,1,0400FA1B88122E0003
18,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,30220,1,0,30220,1,0,0,0x881BFA00,0x00000004,0x04,0x07,12306,768,3704,2347,1,0400FA1B8812300003
19,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,30340,1,0,30340,1,0,0,0x861BFA00,0x00000004,0x04,0x07,12818,768,3704,2346,1,0400FA1B8612320003
20,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,30450,1,0,30450,1,0,0,0x861BFA00,0x00000004,0x04,0x07,13330,768,3704,2346,1,0400FA1B8612340003
21,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,30560,1,0,30560,1,0,0,0x861BF800,0x00000004,0x04,0x07,13842,768,3703,2346,1,0400F81B8612360003
22,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,30670,1,0,30670,1,0,0,0x881BF800,0x00000004,0x04,0x07,13842,768,3703,2347,1,0400F81B8812360003
23,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,30790,1,0,30790,1,0,0,0x881BF800,0x00000004,0x04,0x07,14354,768,3703,2347,1,0400F81B8812380003
24,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,30900,1,0,30900,1,0,0,0x881BF800,0x00000004,0x04,0x07,14866,768,3703,2347,1,0400F81B88123A0003
25,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,31010,1,0,31010,1,0,0,0x861BF800,0x00000004,0x04,0x07,14866,768,3703,2346,1,0400F81B86123A0003
26,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,31120,1,0,31120,1,0,0,0x881BFA00,0x00000004,0x04,0x07,15378,768,3704,2347,1,0400FA1B88123C0003
27,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,31240,1,0,31240,1,0,0,0x861BFA00,0x00000004,0x04,0x07,15378,768,3704,2346,1,0400FA1B86123C0003
28,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,31350,1,0,31350,1,0,0,0x861BFA00,0x00000004,0x04,0x07,15378,768,3704,2346,1,0400FA1B86123C0003
29,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,31460,1,0,31460,1,0,0,0x881BF800,0x00000004,0x04,0x07,15378,768,3703,2347,1,0400F81B88123C0003
30,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,31570,1,0,31570,1,0,0,0x881BF800,0x00000004,0x04,0x07,15890,768,3703,2347,1,0400F81B88123E0003
31,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,31690,1,0,31690,1,0,0,0x881BF800,0x00000004,0x04,0x07,15890,768,3703,2347,1,0400F81B88123E0003
32,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,31800,1,0,31800,1,0,0,0x881BF800,0x00000004,0x04,0x07,15890,768,3703,2347,1,0400F81B88123E0003
33,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,31910,1,0,31910,1,0,0,0x881BF800,0x00000004,0x04,0x07,16402,768,3703,2347,1,0400F81B8812400003
34,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,32020,1,0,32020,1,0,0,0x881BF800,0x00000004,0x04,0x07,16402,768,3703,2347,1,0400F81B8812400003
35,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,32140,1,0,32140,1,0,0,0x8A1BF800,0x00000004,0x04,0x07,16914,768,3703,2348,1,0400F81B8A12420003
36,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,32250,1,0,32250,1,0,0,0x8A1BF800,0x00000004,0x04,0x07,16914,768,3703,2348,1,0400F81B8A12420003
37,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,32360,1,0,32360,1,0,0,0x8A1BF800,0x00000004,0x04,0x07,16914,768,3703,2348,1,0400F81B8A12420003
38,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,32470,1,0,32470,1,0,0,0x881BF800,0x00000004,0x04,0x07,16914,768,3703,2347,1,0400F81B8812420003
39,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,32590,1,0,32590,1,0,0,0x881BF800,0x00000004,0x04,0x07,16914,768,3703,2347,1,0400F81B8812420003
40,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,32700,1,0,32700,1,0,0,0x8A1BF800,0x00000004,0x04,0x07,16914,768,3703,2348,1,0400F81B8A12420003
41,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,32810,1,0,32810,1,0,0,0x8A1BF800,0x00000004,0x04,0x07,17426,768,3703,2348,1,0400F81B8A12440003
42,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,32920,1,0,32920,1,0,0,0x881BF800,0x00000004,0x04,0x07,17426,768,3703,2347,1,0400F81B8812440003
43,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,33040,1,0,33040,1,0,0,0x8A1BF800,0x00000004,0x04,0x07,17938,768,3703,2348,1,0400F81B8A12460003
