frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,decoded_scan_time,decoded_contact_count,decoded_is_button_clicked,raw_scan_time,raw_contact_count,raw_is_button_clicked,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
0,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,21446,1,0,21446,1,0,0,0x38102800,0x00000004,0x04,0x07,2581,768,2139,2687,1,0400281038150A0003
1,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,21556,1,0,21556,1,0,0,0x38101800,0x00000004,0x04,0x07,3093,768,2131,2687,1,0400181038150C0003
2,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,21666,1,0,21666,1,0,0,0x3E101E00,0x00000004,0x04,0x07,3605,768,2134,2690,1,04001E103E150E0003
3,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,21786,1,0,21786,1,0,0,0x42103600,0x00000004,0x04,0x07,4117,768,2146,2692,1,040036104215100003
4,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,21896,1,0,21896,1,0,0,0x42105200,0x00000004,0x04,0x07,5141,768,2161,2692,1,040052104215140003
5,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,22006,1,0,22006,1,0,0,0x42107E00,0x00000004,0x04,0x07,5141,768,2183,2692,1,04007E104215140003
6,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,22116,1,0,22116,1,0,0,0x4010B200,0x00000004,0x04,0x07,5653,768,2210,2691,1,0400B2104015160003
7,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,22236,1,0,22236,1,0,0,0x3810E800,0x00000004,0x04,0x07,5653,768,2238,2687,1,0400E8103815160003
8,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,22346,1,0,22346,1,0,0,0x2E112000,0x00000004,0x04,0x07,6165,768,2267,2682,1,040020112E15180003
9,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,22456,1,0,22456,1,0,0,0x2C115A00,0x00000004,0x04,0x07,6165,768,2297,2681,1,04005A112C15180003
